Time,Misoperation,Motor current state,Brake,Motor temperature,System fault light,Braking system fault display,Accelerator opening,High Voltage Detection Complete Flag,low-voltage power-off request flag,current motor speed,current motor torque,DC bus voltage,DC bus current,Motor phase current (effective value),Motor maximum drive torque,Motor maximum braking torque,Speed signal,Active drive,Drive Motor Output Power MCU Part Number,Accelerator pedal voltage,Gear switch A voltage,Gear switch B voltage,Gear switch C voltage,Gear switch D voltage,Total number of drive motors,Drive motor serial number,Total number of drive motor failures,Battery voltage,Slow charge wakeup signal,Vehicle model,Power Battery Positive Relay Current Control Command Status,Power Battery Precharge Relay Current Control Command Status,SOC (State of charge),Current status allows maximum feedback power,Current status allows maximum discharge power,BMS self-test counter,Power battery internal total voltage V1,Power battery charge/discharge current,Power battery external total voltage V2,Power battery load voltage V3,Single cell core voltage,Single cell minimum voltage,Power battery positive to GND insulation resistance,Power Battery Negative Resistance to GND Insulation Resistance,Single cell temperature,Single cell minimum temperature,Power battery available energy,Power battery available capacity,Effective cell voltage,Effective temperature collection points,DCDC current status,Slow charge CC voltage,Low battery alert,Driving range ,Mileage value,Prohibited high-voltage power-on flag,Vehicle bootloader flag,On-board charger output voltage instruction,Car charger output current instruction,Car Charger Work Instruction,Car Charger Network Status Control Command,charging ,Power Battery Heater Relay Instruction,High voltage power-down request (VCU) charge self-test counter,High-voltage power-down request (charging),Remote refresh mode enable command,System fault light_BMS,Power Battery System Fault Indicator VCU ,Troubleshooting Level,Collision signal status,Operating mode,Battery pack 1 monomer minimum number,Battery pack 1 monomer maximum number,Battery pack 1 maximum temperature,Battery pack 1 minimum temperature,Temperature sensor 1,Temperature sensor 2,Temperature sensor 3,Temperature sensor 4,Temperature sensor 5,Temperature sensor 6,Temperature sensor 7,Temperature sensor 8,Temperature sensor 9,total milage,The current status of car charger,Car Charge Wakeup Output Signal Status,Slow charge gun connection status,Charging mode,Power supply equipment status,Charger output current,Charger output voltage,Speed,Power battery pack number,Power battery pack number length,Power battery subsystem number,Total number of battery cells,Power battery temperature point total,Total battery power failure,cell voltage nr. 1,cell voltage nr. 2,cell voltage nr. 3,cell voltage nr. 4,cell voltage nr. 5,cell voltage nr. 6,cell voltage nr. 7,cell voltage nr. 8,cell voltage nr. 9,cell voltage nr. 10,cell voltage nr. 11,cell voltage nr. 12,cell voltage nr. 13,cell voltage nr. 14,cell voltage nr. 15,cell voltage nr. 16,cell voltage nr. 17,cell voltage nr. 18,cell voltage nr. 19,cell voltage nr. 20,cell voltage nr. 21,cell voltage nr. 22,cell voltage nr. 23,cell voltage nr. 24,cell voltage nr. 25,cell voltage nr. 26,cell voltage nr. 27,cell voltage nr. 28,cell voltage nr. 29,cell voltage nr. 30,cell voltage nr. 31,Maximum unit voltage number,Maximum temperature number,Lowest temperature number,Lowest cell voltage number,Maximum unit voltage package number,Maximum temperature package number,Minimum temperature package number,Lowest monomer voltage package number
2016/03/24 13:38:02.000.,0,1,0,81,0,0,14.4,1,0,3582,35.32,111.5,47.3,81.9,150.1,50.02,54.12,1,16,1.06,0.46,4.66,0.46,4.7,1,1,0,13.716,0,2,1,0,46.4,22.33,44.99,3,112.34,52.34,112.34,112.28,3.6305,3.5865,3999,3999,29,28,8.99,80.06,31,9,1,13.4,0,81.4,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,53.6,1,30,1,31,9,0,3.6193,3.6237,3.6228,3.6215,3.6215,3.6227,3.6241,3.6247,3.6166,3.6192,3.6217,3.6205,3.6222,3.6222,3.6183,3.6187,3.6232,3.6197,3.6215,3.6215,3.616,3.6222,3.6222,3.619,3.5802,3.6137,3.6221,3.6233,3.6197,3.6227,3.6205,7,1,4,25,1,1,1,1
2016/03/24 13:38:12.000.,0,1,0,81,0,0,0,1,0,3018,9.7,112.2,10.89,37.8,150.1,50.02,45.83,1,3.2,0.5,0.46,4.66,0.46,4.7,1,1,0,13.703,0,2,1,0,46.4,22.33,44.99,3,112.88,11.86,112.88,112.84,3.6427,3.5998,3999,3999,29,28,9.03,80.05,31,9,1,13.4,0,81.4,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,46.8,1,30,1,31,9,0,3.6487,3.6545,3.6532,3.6515,3.6516,3.6532,3.6553,3.6548,3.6468,3.65,3.6497,3.651,3.6528,3.6535,3.6495,3.6507,3.6542,3.6505,3.6522,3.6523,3.6472,3.6513,3.6528,3.6501,3.6133,3.6448,3.6527,3.6542,3.6508,3.6532,3.6502,7,1,4,25,1,1,1,1
2016/03/24 13:38:22.000.,0,1,0,81,0,0,12.8,1,0,2862,21.3,112.3,37.68,78.3,150.1,50.02,43.79,1,12.8,1,0.46,4.66,0.46,4.7,1,1,0,13.716,0,2,1,0,46.4,22.33,44.99,3,112.54,40.14,112.54,112.5,3.6353,3.5922,3999,3999,29,28,9,79.99,31,9,1,13.4,0,81.3,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,43.4,1,30,1,31,9,0,3.6316,3.6357,3.635,3.6333,3.6333,3.6346,3.6363,3.637,3.6291,3.6317,3.6328,3.6327,3.6342,3.6346,3.6308,3.6317,3.6355,3.6321,3.6335,3.6337,3.6282,3.6342,3.6347,3.6312,3.5932,3.626,3.6345,3.6358,3.6321,3.635,3.6318,8,1,4,25,1,1,1,1
2016/03/24 13:38:32.000.,0,1,0,81,0,0,14,1,0,2868,22.84,112.2,39.53,81.3,150.1,50.02,43.42,1,13.6,1.04,0.46,4.66,0.46,4.7,1,1,0,13.703,0,2,1,0,46.4,22.33,44.99,3,112.48,42.58,112.48,112.44,3.6341,3.5902,3999,3999,29,28,8.98,79.89,31,9,1,13.4,0,81.2,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,43.2,1,30,1,31,9,0,3.6292,3.6337,3.6328,3.6315,3.6312,3.6323,3.6343,3.6342,3.6262,3.6286,3.6305,3.6301,3.6321,3.6321,3.6285,3.6297,3.6332,3.6297,3.631,3.6317,3.6262,3.632,3.6321,3.6291,3.591,3.6237,3.6322,3.634,3.6297,3.6326,3.6296,7,1,4,25,1,1,1,1
2016/03/24 13:38:42.000.,0,1,0,81,0,0,11.2,1,0,2625,19.04,112.3,29.23,70.6,150.1,50.02,39.96,1,9.6,0.94,0.46,4.66,0.46,4.7,1,1,0,13.703,0,2,1,0,46.4,22.33,44.99,3,112.62,32.8,112.62,112.6,3.6382,3.5951,3999,3999,29,28,8.99,79.83,31,9,1,13.4,0,81.2,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,40.2,1,30,1,31,9,0,3.6331,3.6382,3.6368,3.6352,3.6352,3.6362,3.6382,3.6381,3.6302,3.6332,3.6343,3.6345,3.6366,3.6365,3.6327,3.6337,3.637,3.6336,3.6353,3.6358,3.63,3.6355,3.6361,3.6333,3.5952,3.6282,3.6362,3.6373,3.6337,3.6366,3.6332,2,1,4,25,1,1,1,1
2016/03/24 13:38:52.000.,0,1,0,81,0,0,6.8,1,0,2541,12.32,112.1,17.92,54.3,150.1,50.02,38.5,1,5.6,0.76,0.46,4.66,0.46,4.7,1,1,0,13.703,0,2,1,0,46.4,22.33,44.99,3,112.74,19.8,112.74,112.7,3.6378,3.5951,3999,3999,29,28,8.98,79.74,31,9,1,13.4,0,81.1,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,39,1,30,1,31,9,0,3.6307,3.6353,3.635,3.6335,3.633,3.6348,3.6362,3.6366,3.6291,3.6317,3.6326,3.6323,3.6345,3.6341,3.631,3.6317,3.635,3.6317,3.6335,3.6336,3.6285,3.634,3.6342,3.6308,3.5937,3.6266,3.6346,3.6357,3.632,3.6347,3.6318,7,1,4,25,1,1,1,1
2016/03/24 13:39:02.000.,0,2,0,80,0,0,0,1,0,1632,5.1,112.6,6.8,84,150.1,50.02,24.76,1,-2.4,0.02,0.46,4.66,0.44,4.7,1,1,0,13.703,0,2,1,0,46.4,22.33,44.99,3,113.12,-8.36,113.12,113.1,3.6523,3.611,3999,3999,29,28,9.02,79.76,31,9,1,13.4,0,81.1,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,7,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,27.4,1,30,1,31,9,0,3.6471,3.6527,3.6513,3.6498,3.6502,3.6517,3.6528,3.6523,3.6447,3.6477,3.6482,3.6492,3.6512,3.6513,3.6485,3.6488,3.652,3.649,3.6503,3.6506,3.6456,3.6501,3.6508,3.6482,3.6108,3.6432,3.6507,3.6522,3.6486,3.652,3.6478,2,1,4,25,1,1,1,1
2016/03/24 13:39:12.000.,0,1,0,80,0,0,0,1,0,1248,1.36,112.4,1.37,38.1,150.1,50.02,18.93,1,0,0.44,0.46,4.66,0.44,4.7,1,1,0,13.716,0,2,1,0,46.4,22.33,44.99,3,112.94,8.48,112.94,112.94,3.6465,3.6038,3999,3999,29,28,9,79.74,31,9,1,13.4,0,81.1,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,7,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,19.4,1,30,1,31,9,0,3.6403,3.6457,3.6442,3.6427,3.643,3.6443,3.6458,3.6461,3.6381,3.641,3.6416,3.6421,3.6442,3.6445,3.6406,3.642,3.6446,3.6417,3.6435,3.6437,3.6382,3.6431,3.6441,3.6407,3.6032,3.636,3.644,3.6458,3.6417,3.6446,3.6411,8,1,4,25,1,1,1,1
2016/03/24 13:39:22.000.,0,2,0,80,0,0,0,1,0,846,7.32,112.5,5.04,39.2,150.1,50.02,12.79,1,-1.6,0.02,0.46,4.66,0.44,4.68,1,1,0,13.703,0,2,1,0,46.4,22.33,44.99,3,112.98,6.46,112.98,112.94,3.6478,3.606,3999,3999,29,28,9,79.72,31,9,1,13.4,0,81.1,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,13.7,1,30,1,31,9,0,3.6422,3.6472,3.6458,3.6447,3.6448,3.6462,3.6482,3.6483,3.6403,3.643,3.6432,3.6442,3.6458,3.6463,3.6432,3.644,3.6467,3.6433,3.6452,3.6456,3.6403,3.6448,3.6456,3.6427,3.6058,3.6385,3.6457,3.6472,3.6435,3.6465,3.6435,7,1,4,25,1,1,1,1
2016/03/24 13:39:32.000.,0,1,1,80,0,0,0,1,0,15,33.88,112.3,0.41,133,150.1,50.02,0.5,1,4.8,0,0.46,4.68,0.44,4.68,1,1,0,13.649,0,2,1,0,46.4,22.33,44.99,3,112.9,14.24,112.9,112.82,3.6428,3.6002,3999,3999,29,28,8.99,79.69,31,9,1,13.3,0,81,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,3.8,1,30,1,31,9,0,3.6377,3.6423,3.6417,3.6403,3.6402,3.6418,3.6435,3.6432,3.6353,3.6383,3.6392,3.6393,3.6416,3.6416,3.6382,3.6392,3.6425,3.6387,3.6405,3.6407,3.6353,3.6403,3.6411,3.6385,3.6012,3.6335,3.6407,3.6427,3.639,3.642,3.6391,7,1,4,25,1,1,1,1
2016/03/24 13:39:42.000.,0,1,1,80,0,0,0,1,0,0,28.44,112.3,0,97.1,150.1,50.02,0,1,4,0.02,0.46,4.68,0.44,4.68,1,1,0,13.649,0,2,1,0,46.4,22.33,44.99,3,112.9,14.82,112.9,112.86,3.6447,3.6031,3999,3999,29,28,8.99,79.65,31,9,1,13.3,0,81,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,0,1,30,1,31,9,0,3.6398,3.6446,3.6435,3.6422,3.6418,3.6433,3.6452,3.6446,3.6372,3.6403,3.641,3.6413,3.6432,3.6433,3.64,3.6407,3.6441,3.6406,3.6425,3.6427,3.6376,3.6423,3.6427,3.6401,3.6032,3.6355,3.6427,3.6446,3.6406,3.6437,3.6405,7,1,4,25,1,1,1,1
2016/03/24 13:39:52.000.,0,1,1,79,0,0,0,1,0,0,28.02,112.4,0,98,150.1,50.02,0,1,1.6,0.02,0.46,4.68,0.44,4.68,1,1,0,13.649,0,2,1,0,46.4,22.33,44.99,3,113,5.14,113,113,3.6486,3.6066,3999,3999,29,28,8.99,79.62,31,9,1,13.3,0,81,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,7,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,0,1,30,1,31,9,0,3.643,3.6478,3.6468,3.6458,3.6456,3.6463,3.6486,3.648,3.6407,3.6435,3.644,3.6446,3.6468,3.6471,3.6433,3.6445,3.6472,3.6441,3.6456,3.6465,3.6407,3.6457,3.6462,3.6433,3.6065,3.6391,3.6465,3.6482,3.6442,3.6467,3.6437,7,1,4,25,1,1,1,1
2016/03/24 13:40:02.000.,0,1,1,79,0,0,0,1,0,0,28.54,112.4,0,97.9,150.1,50.02,0,1,0.8,0.02,0.46,4.68,0.44,4.68,1,1,0,13.649,0,2,1,0,46.4,22.33,44.99,3,113.02,5.04,113.02,112.98,3.6496,3.6072,3999,3999,29,28,9,79.61,31,9,1,13.3,0,80.9,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,7,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,0,1,30,1,31,9,0,3.6437,3.6487,3.6468,3.6462,3.6458,3.6468,3.6488,3.6487,3.6411,3.6443,3.6442,3.6451,3.6472,3.647,3.644,3.6448,3.648,3.6446,3.6462,3.6466,3.6412,3.6462,3.6466,3.6442,3.6072,3.6395,3.6468,3.6482,3.6447,3.6477,3.6441,2,1,4,25,1,1,1,1
2016/03/24 13:40:12.000.,0,1,1,79,0,0,0,1,0,0,27.96,112.4,0,97.1,150.1,50.02,0,1,0.8,0.02,0.46,4.68,0.44,4.68,1,1,0,13.649,0,2,1,0,46.4,22.33,44.99,3,113.04,5.14,113.04,113,3.6491,3.6076,3999,3999,29,28,8.99,79.59,31,9,1,13.3,0,80.9,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,0,1,30,1,31,9,0,3.6437,3.6487,3.6481,3.6462,3.6462,3.6475,3.6491,3.6491,3.6411,3.6441,3.6448,3.6456,3.6472,3.6477,3.6445,3.6452,3.6485,3.6446,3.6462,3.6468,3.6417,3.6465,3.6472,3.6445,3.6076,3.6398,3.6472,3.6493,3.6451,3.6477,3.6443,7,1,4,25,1,1,1,1
2016/03/24 13:40:22.000.,0,1,1,79,0,0,0,1,0,0,28.64,112.4,0,98.1,150.1,50.02,0,1,2.4,0.02,0.46,4.68,0.44,4.68,1,1,0,13.649,0,2,1,0,46.4,22.33,44.99,3,112.98,9.52,112.98,112.94,3.6482,3.6067,3999,3999,29,28,8.98,79.57,31,9,1,13.3,0,80.9,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,7,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,0,1,30,1,31,9,0,3.6428,3.6481,3.6473,3.6453,3.6458,3.6467,3.6485,3.6485,3.6407,3.6438,3.6442,3.6448,3.6466,3.6468,3.644,3.6442,3.6473,3.644,3.6456,3.6467,3.6407,3.646,3.6463,3.6432,3.607,3.6392,3.6465,3.6487,3.6441,3.6471,3.644,2,1,4,25,1,1,1,1
2016/03/24 13:40:32.000.,0,1,0,79,0,0,0,1,0,75,57.02,112.2,3.5,160.5,150.1,50.02,1.04,1,6.4,0.28,0.46,4.66,0.44,4.7,1,1,0,13.689,0,2,1,0,46.4,22.33,44.99,3,112.88,21.14,112.88,112.84,3.6467,3.6047,3999,3999,29,28,8.98,79.54,31,9,1,13.4,0,80.9,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,7,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,0,1,30,1,31,9,0,3.6408,3.6456,3.6445,3.6432,3.643,3.6446,3.6462,3.6458,3.6383,3.6412,3.6422,3.6423,3.6442,3.6446,3.6411,3.6418,3.6451,3.6417,3.6432,3.6437,3.6385,3.6435,3.6437,3.6413,3.6047,3.6362,3.6442,3.6458,3.6418,3.6452,3.6415,7,1,4,25,1,1,1,1
2016/03/24 13:40:42.000.,0,1,0,79,0,0,3.2,1,0,1452,7.22,112.2,8.61,49,150.1,50.02,22.3,1,4,0.62,0.46,4.66,0.44,4.7,1,1,0,13.636,0,2,1,0,46,22.33,44.99,3,112.86,18.66,112.86,112.84,3.6496,3.6085,3999,3999,29,28,8.98,79.42,31,9,1,13.3,0,80.8,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,20.4,1,30,1,31,9,0,3.6393,3.6443,3.6432,3.6418,3.642,3.6432,3.6456,3.6456,3.6372,3.6402,3.6407,3.6411,3.6431,3.6431,3.6397,3.641,3.6445,3.6407,3.6427,3.643,3.6373,3.6422,3.6432,3.6402,3.6037,3.6357,3.643,3.645,3.6407,3.6437,3.6403,7,1,4,25,1,1,1,1
2016/03/24 13:40:52.000.,0,2,0,78,0,0,0,1,0,1653,3.98,112.6,5.36,83.7,150.1,50.02,24.94,1,-1.6,0.02,0.46,4.66,0.44,4.68,1,1,0,13.703,0,2,1,0,46,22.33,44.99,3,113.1,-7.58,113.1,113.12,3.6515,3.6102,3999,3999,29,28,8.98,79.4,31,9,1,13.4,0,80.7,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,29,28,29,29,29,28,28,28,28,28,29,17353,0,1,1,0,4,0,0,25.8,1,30,1,31,9,0,3.6447,3.6497,3.6491,3.6477,3.6477,3.6491,3.6511,3.6507,3.643,3.6463,3.6466,3.6472,3.6487,3.6491,3.6456,3.6468,3.6501,3.6468,3.6485,3.6487,3.6432,3.6477,3.6487,3.6457,3.6098,3.6412,3.6487,3.6506,3.6468,3.6495,3.6458,7,1,4,25,1,1,1,1
2016/03/24 13:41:02.000.,0,2,1,78,0,0,0,1,0,1452,19.04,113,22.4,135.3,150.1,50.02,22.16,1,-8.8,0.02,0.46,4.68,0.44,4.68,1,1,0,13.636,0,2,1,0,46,22.33,44.99,3,113.4,-29.78,113.4,113.38,3.6506,3.6095,3999,3999,29,28,8.98,79.39,31,9,1,13.3,0,80.7,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,29,28,29,29,29,28,28,28,28,28,29,17354,0,1,1,0,4,0,0,23.1,1,30,1,31,9,0,3.6382,3.6427,3.6417,3.6397,3.6398,3.6411,3.6436,3.6437,3.6361,3.6386,3.6392,3.6397,3.6412,3.6417,3.6386,3.639,3.6425,3.6387,3.6407,3.6408,3.6352,3.641,3.6412,3.6381,3.6017,3.6341,3.6411,3.6427,3.6387,3.6423,3.6387,7,1,4,25,1,1,1,1
2016/03/24 13:41:12.000.,0,2,0,78,0,0,0,1,0,1092,4.4,112.5,3.92,60.6,150.1,50.02,16.56,1,-1.6,0,0.46,4.66,0.44,4.7,1,1,0,13.703,0,2,1,0,46,22.33,44.99,3,113.06,5.6,113.06,113.06,3.6511,3.6091,3999,3999,29,28,8.98,79.4,31,9,1,13.4,0,80.7,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,7,29,28,29,29,29,28,28,28,28,28,29,17354,0,1,1,0,4,0,0,17.1,1,30,1,31,9,0,3.6446,3.6495,3.649,3.6473,3.6472,3.6486,3.6502,3.6497,3.6425,3.6451,3.6456,3.6462,3.6482,3.6482,3.6452,3.6458,3.6492,3.6458,3.6472,3.648,3.6423,3.6471,3.6478,3.6452,3.6093,3.6407,3.648,3.6496,3.6457,3.6491,3.6457,7,1,4,25,1,1,1,1
2016/03/24 13:41:22.000.,0,1,1,78,0,0,0,1,0,411,25.34,112.2,8.6,81.5,150.1,50.02,6.32,1,5.6,0.02,0.46,4.68,0.44,4.68,1,1,0,13.502,0,2,1,0,46,22.33,44.99,3,112.86,20.66,112.86,112.82,3.6452,3.6031,3999,3999,29,28,8.95,79.34,31,9,1,13.2,0,80.7,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,7,29,28,29,29,29,28,28,28,28,28,29,17354,0,1,1,0,4,0,0,7.1,1,30,1,31,9,0,3.6401,3.6446,3.6437,3.6427,3.642,3.6433,3.6452,3.6452,3.6376,3.6405,3.6411,3.6413,3.6432,3.6435,3.6403,3.641,3.644,3.6412,3.6423,3.6432,3.6372,3.6427,3.6428,3.6403,3.6038,3.6357,3.643,3.645,3.6411,3.6442,3.6403,7,1,4,25,1,1,1,1
2016/03/24 13:41:32.000.,0,1,0,78,0,0,0,1,0,84,54.78,112.3,3.9,149.4,150.1,50.02,1.27,1,3.2,0.02,0.46,4.66,0.46,4.68,1,1,0,13.636,0,2,1,0,46,22.33,44.99,3,112.98,12.4,112.98,112.94,3.6482,3.6072,3999,3999,29,28,8.96,79.31,31,9,1,13.3,0,80.6,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,29,28,29,29,29,28,28,28,28,28,29,17354,0,1,1,0,4,0,0,0,1,30,1,31,9,0,3.6432,3.6482,3.6468,3.6456,3.6452,3.6468,3.6487,3.6485,3.6407,3.6437,3.644,3.645,3.6467,3.6468,3.6435,3.6447,3.6475,3.6441,3.6455,3.6466,3.6407,3.6457,3.6463,3.6436,3.6076,3.6387,3.6463,3.6482,3.6445,3.6475,3.6435,2,1,4,25,1,1,1,1
2016/03/24 13:41:42.000.,0,1,0,78,0,0,0,1,0,873,7.2,112.5,4.89,61.4,150.1,50.02,13.33,1,1.6,0.02,0.46,4.66,0.46,4.68,1,1,0,13.703,0,2,1,0,46,22.33,44.99,3,112.96,4,112.96,112.94,3.6417,3.6003,3999,3999,29,28,8.94,79.26,31,9,1,13.4,0,80.6,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,29,28,29,29,29,28,28,28,28,28,29,17354,0,1,1,0,4,0,0,12,1,30,1,31,9,0,3.6376,3.6425,3.6411,3.6402,3.6396,3.641,3.6425,3.6427,3.6352,3.6377,3.639,3.6391,3.6412,3.6413,3.6375,3.6383,3.6413,3.6383,3.6397,3.6405,3.6352,3.6402,3.6403,3.6378,3.6015,3.6328,3.6407,3.6427,3.6387,3.6413,3.6383,2,1,4,25,1,1,1,1
2016/03/24 13:41:52.000.,0,1,0,78,0,0,0,1,0,1083,19.32,112.4,16.87,107.2,150.1,50.02,16.43,1,5.6,0,0.46,4.66,0.46,4.68,1,1,0,13.703,0,2,1,0,46,22.33,44.99,3,112.78,14.78,112.78,112.76,3.6362,3.5945,3999,3999,29,28,8.9,79.18,31,9,1,13.4,0,80.5,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,29,28,29,29,29,28,28,28,28,28,29,17354,0,1,1,0,4,0,0,16,1,30,1,31,9,0,3.631,3.6351,3.6343,3.6322,3.6322,3.6337,3.6356,3.6363,3.6287,3.6307,3.6317,3.6317,3.6337,3.6336,3.6302,3.6312,3.6345,3.6311,3.633,3.6337,3.6277,3.6333,3.6336,3.6305,3.594,3.6258,3.6332,3.6352,3.6315,3.6343,3.6312,8,1,4,25,1,1,1,1
2016/03/24 13:42:02.000.,0,1,0,78,0,0,0,1,0,378,28.76,112.3,8.9,97.3,150.1,50.02,5.73,1,4.8,0.02,0.46,4.66,0.46,4.68,1,1,0,13.703,0,2,1,0,46,22.33,44.99,3,112.84,17.2,112.84,112.86,3.6445,3.6027,3999,3999,29,28,8.93,79.15,31,9,1,13.4,0,80.5,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,7,29,28,29,29,29,28,28,28,28,28,29,17354,0,1,1,0,4,0,0,5.4,1,30,1,31,9,0,3.638,3.643,3.6418,3.6406,3.6407,3.6416,3.643,3.6433,3.6357,3.6385,3.6392,3.6396,3.6412,3.6412,3.6383,3.6392,3.6417,3.6391,3.6407,3.6408,3.6355,3.6407,3.6411,3.6383,3.6023,3.6337,3.6407,3.6428,3.6392,3.642,3.6385,2,1,4,25,1,1,1,1
2016/03/24 13:42:12.000.,0,1,1,78,0,0,0,1,0,21,41.34,112.2,0.7,151.7,150.1,50.02,0.31,1,5.6,0,0.46,4.68,0.46,4.68,1,1,0,13.422,0,2,1,0,46,22.33,44.99,3,112.8,18.6,112.8,112.76,3.6406,3.599,3999,3999,29,28,8.91,79.09,31,9,1,13.1,0,80.4,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,29,28,29,29,29,28,28,28,28,28,29,17354,0,1,1,0,4,0,0,3.7,1,30,1,31,9,0,3.636,3.6403,3.6396,3.6377,3.6376,3.6392,3.641,3.6408,3.633,3.6361,3.6367,3.6372,3.6392,3.6392,3.6357,3.6367,3.6397,3.6362,3.6381,3.6386,3.6328,3.6382,3.6386,3.6362,3.5996,3.6315,3.6387,3.6402,3.6366,3.6393,3.6366,7,1,4,25,1,1,1,1
2016/03/24 13:42:22.000.,0,1,1,78,0,0,0,1,0,63,28.64,112.2,1.47,98,150.1,50.02,1,1,4.8,0,4.68,4.68,0.44,0.44,1,1,0,13.623,0,2,1,0,46,22.33,44.99,3,112.82,16.12,112.82,112.82,3.6432,3.6018,3999,3999,29,28,8.92,79.04,31,9,1,13.3,0,80.4,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,7,29,28,29,29,29,28,28,28,28,28,29,17354,0,1,1,0,4,0,0,0,1,30,1,31,9,0,3.6385,3.6425,3.6412,3.6405,3.6402,3.6416,3.6437,3.6437,3.6362,3.639,3.6393,3.6396,3.6413,3.642,3.6383,3.6387,3.642,3.6393,3.6402,3.6412,3.6361,3.6407,3.6411,3.6382,3.6025,3.6337,3.6412,3.643,3.6392,3.6417,3.6388,7,1,4,25,1,1,1,1
2016/03/24 13:42:32.000.,0,1,0,78,0,0,0,1,0,15,41.38,112.2,0.5,114.1,150.1,50.02,0.13,1,4.8,0.04,4.68,4.66,0.44,0.44,1,1,0,13.583,0,2,1,0,46,22.33,44.99,3,112.82,17.76,112.82,112.78,3.6431,3.6017,3999,3999,29,28,8.91,78.99,31,9,1,13.3,0,80.3,92.3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,7,29,28,29,29,29,28,28,28,28,28,29,17354,0,1,1,0,4,0,0,0,1,30,1,31,9,0,3.636,3.6411,3.6402,3.6387,3.6387,3.6402,3.6417,3.6417,3.6343,3.6366,3.6377,3.6382,3.64,3.6398,3.6363,3.6375,3.6407,3.6372,3.6388,3.6396,3.6337,3.6392,3.6397,3.637,3.6008,3.6322,3.6395,3.6413,3.6377,3.6403,3.6373,2,1,4,25,1,1,1,1
